id_competence,lib_competence,descr_competence,type_competence
1;jardinage;"entretien parc";"entretien parc"
2;comp1;desc1;"a
"
3;comp2;desc2;"b
"
4;comp3;desc3;"c
"
5;comp4;desc4;d
6;comp1;desc1;"a
"
7;comp2;desc2;"b
"
8;comp3;desc3;"c
"
9;comp4;desc4;d
10;comp1;desc1;"a
"
11;comp2;desc2;"b
"
12;comp3;desc3;"c
"
13;comp4;desc4;d
14;comp1;"desc1 test1";"a
"
15;comp2;"desc2 test2";"b
"
16;comp3;"desc3 test3";"c
"
17;comp4;"desc4 test4";d
18;comp1;"desc1 test1";"a b
"
19;comp2;"desc2 test2";"b c
"
20;comp3;"desc3 test3";"c d
"
21;comp4;"desc4 test4";"d e"
22;comp1;desc1;"a
"
23;comp2;desc2;"b
"
24;comp3;desc3;"c
"
25;comp4;desc4;d
26;comp1;desc1;"a
"
27;comp2;desc2;"b
"
28;comp3;desc3;"c
"
29;comp4;desc4;d
30;comp1;desc1;"a
"
31;comp2;desc2;"b
"
32;comp3;desc3;"c
"
33;comp4;desc4;d
34;comp1;desc1;"a
"
35;comp2;desc2;"b
"
36;comp3;desc3;"c
"
37;comp4;desc4;d
38;comp1;desc1;"a
"
39;comp2;desc2;"b
"
40;comp3;desc3;"c
"
41;comp4;desc4;d
42;comp1;desc1;"a
"
43;comp2;desc2;"b
"
44;comp3;desc3;"c
"
45;comp4;desc4;d
46;comp1;desc1;"a
"
47;comp2;desc2;"b
"
48;comp3;desc3;"c
"
49;comp4;desc4;d
50;comp1;desc1;"a
"
51;comp2;desc2;"b
"
52;comp3;desc3;"c
"
53;comp4;desc4;d
54;comp1;desc1;"a
"
55;comp2;desc2;"b
"
56;comp3;desc3;"c
"
57;comp4;desc4;d
58;comp1;desc1;"a
"
59;comp2;desc2;"b
"
60;comp3;desc3;"c
"
61;comp4;desc4;d
62;comp1;desc1;"a
"
63;comp2;desc2;"b
"
64;comp3;desc3;"c
"
65;comp4;desc4;d
66;comp1;desc1;"a
"
67;comp2;desc2;"b
"
68;comp3;desc3;"c
"
69;comp4;desc4;d
70;comp1;desc1;"a
"
71;comp2;desc2;"b
"
72;comp3;desc3;"c
"
73;comp4;desc4;d
74;comp1;desc1;"a
"
75;comp2;desc2;"b
"
76;comp3;desc3;"c
"
77;comp4;desc4;d
78;comp1;desc1;"a
"
79;comp2;desc2;"b
"
80;comp3;desc3;"c
"
81;comp4;desc4;d
82;comp1;desc1;"a
"
83;comp2;desc2;"b
"
84;comp3;desc3;"c
"
85;comp4;desc4;d
86;comp1;desc1;"a
"
87;comp2;desc2;"b
"
88;comp3;desc3;"c
"
89;comp4;desc4;d
90;comp1;desc1;"a
"
91;comp2;desc2;"b
"
92;comp3;desc3;"c
"
93;comp4;desc4;d
94;comp1;desc1;"a
"
95;comp2;desc2;"b
"
96;comp3;desc3;"c
"
97;comp4;desc4;d
98;comp1;desc1;"a
"
99;comp2;desc2;"b
"
100;comp3;desc3;"c
"
101;comp4;desc4;d
102;comp1;desc1;"a
"
103;comp2;desc2;"b
"
104;comp3;desc3;"c
"
105;comp4;desc4;d
106;comp1;desc1;"a
"
107;comp2;desc2;"b
"
108;comp3;desc3;"c
"
109;comp4;desc4;d
110;comp1;desc1;"a
"
111;comp2;desc2;"b
"
112;comp3;desc3;"c
"
113;comp4;desc4;d
114;comp1;desc1;"a
"
115;comp2;desc2;"b
"
116;comp3;desc3;"c
"
117;comp4;desc4;d
