id_competence,lib_competence,descr_competence,type_competence
211;"Reparation de moteur diesel";"Connaissances des moteurs diesel";Compétence
212;"Controleur salles opérations";"Verifier les locaux médicaux";Compétence
213;"Tracabilite des produits";"Connaître la gestion de produits";Savoir-faire
214;"Administratives des transports";"Connaitre les reglementations";Compétence
215;"Maquetter une application web";"Connaissance en webdesign";Savoir-faire
216;"Accueil de la clientèle";"Accueillir les clients et les renseigner";Savoir-faire
217;"Suivre un chantier";"Savoir gérer un chantier";Savoir-faire
218;"Tailler les vegetaux";"Savoir utiliser des outils pour élaguer";Compétence
219;"Raccordement éléctrique";"Savoir lire un schéma éléctrique";Compétence
220;"Entretien des équipements";"Reparer les équipements defectueux";Compétence
